type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,vehicle safety,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,,,,,,,,,,,,
# description,,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
class,vehicle functional safety,information,,,,,,,,Functional Safety (FuSa),Funktionale Sicherheit (FuSi),"https://en.wikipedia.org/wiki/Functional_safety, https://en.wikipedia.org/wiki/ISO_26262"
,,,,,,,,,,,,
class,cyber security,information,,,,,,,,,,
,,,,,,,,,,,,
iso standard,ISO 26262,,,,Functional safety,,,,,,,https://de.wikipedia.org/wiki/ISO_26262
,,,,,,,,,,,,
,,,,,,,,,,,,
class,Automotive Safety Integrity Level,classification,,,,,,,ISO 26262,Automotive Safety Integrity Level (ASIL),,https://en.wikipedia.org/wiki/Automotive_Safety_Integrity_Level
